totalSupply,created_at
182,2021-08-29 09:52:17.488 UTC
73,2021-08-29 09:52:38.390 UTC
174,2021-08-29 09:52:55.145 UTC
174,2021-08-29 09:52:57.028 UTC
173,2021-08-29 09:53:09.687 UTC
164,2021-08-29 09:53:10.213 UTC
52,2021-08-29 09:53:12.619 UTC
169,2021-08-29 09:53:30.806 UTC
172,2021-08-29 09:53:34.983 UTC
161,2021-08-29 09:54:03.431 UTC
165,2021-08-29 09:54:29.106 UTC
165,2021-08-29 09:54:34.694 UTC
165,2021-08-29 09:54:37.430 UTC
120,2021-08-29 09:55:44.356 UTC
167,2021-08-29 09:55:55.478 UTC
73,2021-08-29 09:56:04.302 UTC
120,2021-08-29 09:56:05.091 UTC
169,2021-08-29 09:56:05.462 UTC
148,2021-08-29 09:56:16.502 UTC
147,2021-08-29 09:56:19.004 UTC
68,2021-08-29 09:56:52.379 UTC
168,2021-08-29 09:56:53.596 UTC
54,2021-08-29 09:57:09.015 UTC
167,2021-08-29 09:57:23.167 UTC
168,2021-08-29 09:57:36.887 UTC
169,2021-08-29 09:57:45.387 UTC
174,2021-08-29 09:57:50.408 UTC
163,2021-08-29 09:58:15.977 UTC
57,2021-08-29 09:58:22.319 UTC
77,2021-08-29 09:58:26.154 UTC
69,2021-08-29 09:58:39.018 UTC
164,2021-08-29 09:58:43.610 UTC
165,2021-08-29 09:58:47.309 UTC
81,2021-08-29 09:59:13.190 UTC
155,2021-08-29 09:59:19.744 UTC
155,2021-08-29 09:59:21.025 UTC
65,2021-08-29 09:59:39.494 UTC
47,2021-08-29 09:59:50.071 UTC
60,2021-08-29 09:59:50.490 UTC
144,2021-08-29 10:00:05.509 UTC
142,2021-08-29 10:00:06.727 UTC
153,2021-08-29 10:00:12.549 UTC
72,2021-08-29 10:00:17.515 UTC
55,2021-08-29 10:00:44.965 UTC
66,2021-08-29 10:01:07.320 UTC
153,2021-08-29 10:01:08.001 UTC
155,2021-08-29 10:01:09.206 UTC
155,2021-08-29 10:01:11.732 UTC
154,2021-08-29 10:01:13.259 UTC
158,2021-08-29 10:01:13.760 UTC
160,2021-08-29 10:01:14.065 UTC
69,2021-08-29 10:01:15.677 UTC
133,2021-08-29 10:01:57.650 UTC
63,2021-08-29 10:01:58.593 UTC
160,2021-08-29 10:02:00.031 UTC
60,2021-08-29 10:02:10.275 UTC
158,2021-08-29 10:02:22.012 UTC
159,2021-08-29 10:03:02.728 UTC
159,2021-08-29 10:03:04.295 UTC
159,2021-08-29 10:03:09.006 UTC
152,2021-08-29 10:03:23.993 UTC
153,2021-08-29 10:04:16.379 UTC
153,2021-08-29 10:04:59.352 UTC
155,2021-08-29 10:05:14.404 UTC
158,2021-08-29 10:05:16.303 UTC
65,2021-08-29 10:05:24.569 UTC
58,2021-08-29 10:05:26.706 UTC
143,2021-08-29 10:06:15.542 UTC
160,2021-08-29 10:06:40.360 UTC
113,2021-08-29 10:06:59.900 UTC
